DMC,Color,RGB
Ecru,Ecru/off-white,"(255, 247, 231)"
315,Antique Mauve - MED DK,"(125, 66, 70)"
Blanc,White,"(238, 238, 238)"
316,Antique Mauve - MED,"(188, 117, 127)"
B5200,Snow White,"(252, 252, 255)"
317,Pewter Gray,"(109, 100, 105)"
White,White,"(255, 255, 255)"
318,Steel Gray - LT,"(153, 155, 157)"
150,Red - BRIGHT,"(207, 0, 83)"
319,Pistachio Green - VY DK,"(58, 85, 59)"
151,Pink,"(255, 203, 215)"
320,Pistachio Green - MED,"(96, 140, 89)"
152,Tawny - DK,"(225, 161, 161)"
321,Red,"(189, 17, 54)"
153,Lilac,"(234, 197, 235)"
322,Baby Blue,"(58, 96, 157)"
154,Red - VY DK,"(75, 35, 58)"
326,Rose - VY DK,"(172, 28, 55)"
155,Forget-me-not Blue,"(151, 116, 182)"
327,Violet,"(94, 15, 119)"
156,Blue - MED,"(133, 119, 180)"
333,Blue Violet - VY DK,"(110, 46, 155)"
157,Blue - LT,"(181, 184, 234)"
334,Baby Blue - MED,"(96, 133, 184)"
158,Blue - DK,"(57, 48, 104)"
335,Rose,"(214, 61, 87)"
159,Petrol Blue - LT,"(188, 181, 222)"
336,Blue,"(12, 39, 94)"
160,Petrol Blue - MED,"(129, 120, 169)"
340,Blue Violet - MED,"(153, 109, 195)"
161,Petrol Blue - DK,"(96, 86, 139)"
341,Blue Violet - LT,"(163, 154, 215)"
162,Baby Blue - LT,"(202, 231, 240)"
347,Salmon - VY DK,"(171, 27, 51)"
163,Green,"(85, 122, 96)"
349,Coral - DK,"(198, 44, 56)"
164,Green - LT,"(186, 228, 182)"
350,Coral - MED,"(222, 63, 64)"
165,Green - BRIGHT,"(225, 244, 119)"
351,Coral,"(237, 98, 91)"
166,Lime Green,"(173, 194, 56)"
352,Coral - LT,"(247, 131, 114)"
167,Khaki Brown,"(133, 93, 49)"
353,Peach,"(253, 180, 161)"
168,Silver Gray,"(177, 174, 183)"
355,Terra Cotta - DK,"(151, 56, 43)"
169,Pewter Gray,"(130, 125, 125)"
356,Terra Cotta - MED,"(190, 92, 75)"
208,Lavender - VY DK,"(148, 66, 167)"
367,Pistachio Green - DK,"(68, 107, 69)"
209,Lavender - DK,"(186, 114, 198)"
368,Pistachio Green - LT,"(127, 198, 109)"
210,Lavender - MED,"(212, 159, 225)"
369,Pistachio Green - VY LT,"(205, 239, 166)"
211,Lavender - LT,"(229, 189, 237)"
370,Mustard - MED,"(145, 114, 69)"
221,Shell Pink - VY DK,"(121, 38, 49)"
371,Mustard,"(159, 131, 82)"
223,Shell Pink - LT,"(187, 104, 100)"
372,Mustard - LT,"(173, 149, 100)"
224,Shell Pink - VY LT,"(226, 165, 152)"
400,Mahogany - DK,"(129, 55, 24)"
225,Shell Pink - ULT VY LT,"(248, 217, 205)"
402,Mahogany - VY LT,"(239, 158, 116)"
300,Mahogany - VY DK,"(108, 49, 22)"
407,Desert Sand - DK,"(183, 113, 89)"
301,Mahogany - MED,"(170, 82, 55)"
413,Pewter Gray - DK,"(74, 71, 73)"
304,Red - MED,"(161, 12, 57)"
414,Steel Gray - DK,"(118, 110, 114)"
307,Lemon,"(253, 233, 73)"
415,Pearl Gray,"(184, 185, 189)"
309,Rose - DK,"(186, 32, 68)"
420,Hazelnut Brown - DK,"(133, 90, 48)"
310,Black,"(0, 0, 0)"
422,Hazelnut Brown - LT,"(201, 154, 103)"
311,Blue - MED,"(0, 42, 100)"
433,Brown - MED,"(115, 66, 30)"
312,Baby Blue - VY DK,"(31, 50, 121)"
434,Brown - LT,"(143, 83, 50)"
435,Brown - VY LT,"(169, 101, 56)"
600,Cranberry - VY DK,"(191, 28, 72)"
436,Tan,"(199, 133, 89)"
601,Cranberry - DK,"(198, 42, 83)"
437,Tan - LT,"(218, 162, 111)"
602,Cranberry - MED,"(214, 63, 104)"
444,Lemon - DK,"(245, 188, 19)"
603,Cranberry,"(237, 93, 132)"
445,Lemon - LT,"(252, 249, 153)"
604,Cranberry - LT,"(247, 147, 178)"
451,Shell Gray - DK,"(136, 119, 115)"
605,Cranberry - VY LT,"(251, 172, 196)"
452,Shell Gray - MED,"(173, 153, 148)"
606,Orange-red - BRIGHT,"(247, 15, 0)"
453,Shell Gray - LT,"(204, 184, 170)"
608,Orange - BRIGHT,"(253, 72, 12)"
469,Avocado Green,"(91, 101, 51)"
610,Drab Brown - DK,"(107, 80, 57)"
470,Avocado Green - LT,"(114, 129, 62)"
611,Drab Brown,"(124, 95, 70)"
471,Avocado Green - VY LT,"(158, 179, 87)"
612,Drab Brown - LT,"(166, 136, 94)"
472,Avocado Green - ULT LT,"(209, 222, 117)"
613,Drab Brown - VY LT,"(185, 159, 114)"
498,Red - DK,"(151, 11, 44)"
632,Desert Sand - ULT VY DK,"(127, 66, 50)"
500,Blue Green - VY DK,"(29, 54, 42)"
640,Beige Gray - VY DK,"(129, 120, 104)"
501,Blue Green - DK,"(47, 84, 70)"
642,Beige Gray - DK,"(149, 141, 121)"
502,Blue Green,"(87, 130, 110)"
644,Beige Gray - MED,"(196, 190, 166)"
503,Blue Green - MED,"(137, 184, 159)"
645,Beaver Gray - VY DK,"(93, 93, 84)"
504,Blue Green - VY LT,"(172, 218, 193)"
646,Beaver Gray - DK,"(107, 104, 96)"
505,Grass Green - DK,"(206, 221, 193)"
647,Beaver Gray - MED,"(144, 142, 133)"
517,Wedgewood - DK,"(33, 98, 133)"
648,Beaver Gray - LT,"(167, 166, 159)"
518,Wedgewood - LT,"(80, 129, 156)"
666,Red - BRIGHT,"(206, 27, 51)"
519,Sky Blue,"(148, 183, 203)"
676,Old Gold - LT,"(236, 191, 125)"
520,Fern Green - DK,"(56, 69, 38)"
677,Old Gold - VY LT,"(242, 220, 159)"
522,Fern Green,"(128, 139, 110)"
680,Old Gold - DK,"(176, 123, 70)"
523,Fern Green - LT,"(149, 159, 122)"
699,Green,"(7, 91, 38)"
524,Fern Green - VY LT,"(174, 167, 142)"
700,Green - BRIGHT,"(7, 108, 52)"
535,Ash Gray - VY LT,"(75, 75, 73)"
701,Green - LT,"(33, 124, 54)"
543,Beige Brown - ULT VY LT,"(234, 208, 181)"
702,Kelly Green,"(55, 145, 48)"
550,Violet - VY DK,"(88, 14, 92)"
703,Chartreuse,"(99, 179, 48)"
552,Violet - MED,"(144, 47, 153)"
704,Chartreuse - BRIGHT,"(136, 197, 58)"
553,Violet,"(164, 73, 172)"
712,Cream,"(246, 239, 218)"
554,Violet - LT,"(220, 156, 222)"
718,Plum,"(203, 32, 137)"
561,Jade - VY DK,"(40, 94, 72)"
720,Orange Spice - DK,"(200, 58, 36)"
562,Jade - MED,"(59, 140, 90)"
721,Orange Spice - MED,"(244, 100, 64)"
563,Jade - LT,"(110, 211, 154)"
722,Orange Spice - LT,"(249, 135, 86)"
564,Jade - VY LT,"(149, 228, 175)"
725,Topaz,"(249, 193, 91)"
580,Moss Green - DK,"(53, 95, 11)"
